label,tags_count,hashtags_count,quotes,url,full_cap_words_count,cap_words_count,tag_realDonaldTrump,tweet_length,NN,DT,IN,JJ,NNS,VBZ,VBD,hr_publish_time_noon,hr_publish_time_evening-night
1,0.125,0,1,0,0.038461538,0.076923077,0,0.61,0.230769231,0.076923077,0.076923077,0.076923077,0.038461538,0.038461538,0,1,0
0,0,0,0,0,0.068965517,0.344827586,0,0.683,0.068965517,0.034482759,0.068965517,0,0,0,0.068965517,0,1
0,0.125,0,1,0,0.037037037,0.185185185,0,0.634,0.111111111,0.111111111,0,0.037037037,0.037037037,0.111111111,0.074074074,0,1
0,0.125,0,0,0,0,0.148148148,0,0.634,0.259259259,0.037037037,0.111111111,0.111111111,0.037037037,0.037037037,0.037037037,0,0
0,0.125,0,0,0,0.08,0.12,0,0.585,0.16,0.08,0.08,0,0.04,0,0,1,0
0,0,0,0,0,0.034482759,0.137931034,0,0.683,0.137931034,0.103448276,0.034482759,0.103448276,0.034482759,0.068965517,0,1,0
0,0.125,0,0,0,0.033333333,0.066666667,0,0.707,0.133333333,0.1,0.033333333,0.066666667,0.033333333,0.033333333,0.066666667,1,0
0,0.125,0,1,0,0,0.032258065,0,0.732,0.193548387,0.129032258,0.096774194,0.129032258,0.096774194,0.064516129,0,1,0
0,0,0,0,0,0.175,0.3,0,0.951,0,0.05,0.1,0.025,0,0.025,0.025,1,0
0,0,0,0,0,0,0.185185185,0,0.634,0.222222222,0.074074074,0,0.074074074,0,0.074074074,0,0,1
0,0,0,0,0,0.038461538,0.153846154,0,0.61,0.076923077,0.076923077,0.115384615,0,0.115384615,0.076923077,0.038461538,0,1
0,0,0,0,0,0.034482759,0.068965517,0,0.683,0.034482759,0.137931034,0.068965517,0.068965517,0.172413793,0,0,0,1
0,0,0,0,0,0.129032258,0.193548387,0,0.732,0.096774194,0.096774194,0.064516129,0.129032258,0.032258065,0,0,0,1
1,0,0.143,0,1,0,0.277777778,0,0.415,0.222222222,0,0.055555556,0,0,0,0,0,1
0,0,0,0,0,0,0.166666667,0,0.561,0.125,0.125,0.125,0.083333333,0,0.083333333,0,0,1
0,0.25,0,0,0,0.1875,0.25,0,0.756,0.03125,0.0625,0.15625,0.03125,0,0,0,1,0
0,0.25,0,0,0,0.153846154,0.269230769,0,0.61,0.076923077,0.038461538,0.153846154,0.115384615,0,0,0,1,0
0,0,0,0,0,0,0.25,0,0.366,0.0625,0.0625,0.125,0,0.0625,0,0,1,0
0,0,0,0,0,0.206896552,0.344827586,0,0.683,0,0.068965517,0.068965517,0.068965517,0.034482759,0,0.068965517,0,1
0,0,0,0,0,0.107142857,0.142857143,0,0.659,0.142857143,0.035714286,0.107142857,0.107142857,0,0,0,0,1
1,0,0.286,0,1,0,0.2,0,0.22,0.2,0,0,0.1,0.1,0,0,0,1
0,0.25,0,0,0,0.05,0.25,1,0.463,0.15,0.05,0.1,0.05,0.05,0,0.05,0,1
0,0.5,0,1,1,0,0,0,0.171,0.5,0,0,0.125,0,0.125,0,0,1
0,0.25,0.143,1,0,0.041666667,0.166666667,0,0.561,0.166666667,0.041666667,0,0.083333333,0,0,0,0,1
0,0.125,0,1,0,0,0.032258065,0,0.732,0.290322581,0.129032258,0.032258065,0.096774194,0.032258065,0.032258065,0,0,1
0,0.125,0,1,1,0,0.277777778,0,0.415,0.166666667,0.055555556,0,0.166666667,0.055555556,0,0,0,1
0,0.5,0,1,0,0.055555556,0.222222222,1,0.415,0.222222222,0,0,0.166666667,0,0,0,0,1
0,0.25,0,1,0,0.153846154,0.230769231,0,0.61,0.192307692,0.115384615,0,0.076923077,0,0.076923077,0.038461538,0,1
0,0.25,0,1,0,0.035714286,0.142857143,0,0.659,0.214285714,0.107142857,0.071428571,0.107142857,0.071428571,0,0.035714286,0,1
0,0.25,0.571,1,0,0,0,0,0.39,0.294117647,0.117647059,0.058823529,0.117647059,0,0.058823529,0,0,1
0,0,0,0,0,0,0.115384615,0,0.61,0.115384615,0,0.153846154,0.230769231,0.038461538,0.115384615,0,0,1
1,0.25,0,0,0,0.041666667,0.083333333,0,0.561,0.125,0.041666667,0.083333333,0.041666667,0.125,0,0,0,1
1,0.125,1,1,0,0.037037037,0.037037037,0,0.634,0.148148148,0.111111111,0.148148148,0.148148148,0.111111111,0.037037037,0,0,1
1,0,0,1,1,0,0.416666667,0,0.268,0.166666667,0.083333333,0.166666667,0.166666667,0.083333333,0,0,0,1
1,0,0.143,0,1,0,0.142857143,0,0.488,0.095238095,0,0.142857143,0,0.095238095,0,0.095238095,0,1
1,0.25,0.286,1,0,0.043478261,0.130434783,1,0.537,0.217391304,0.130434783,0.086956522,0.043478261,0.043478261,0.086956522,0,0,1
1,0,0,0,1,0,0.125,0,0.171,0.125,0,0.125,0,0.125,0,0,0,1
1,0,0,0,0,0,0.2,0,0.22,0.2,0.2,0,0.1,0,0,0.1,0,1
1,0.25,0,1,0,0,0.176470588,1,0.39,0.117647059,0.058823529,0.176470588,0.117647059,0.058823529,0,0,0,1
0,0,0,0,0,0,0.172413793,0,0.683,0.206896552,0.103448276,0.068965517,0.103448276,0,0.103448276,0,1,0
0,0.25,0,0,0,0.035714286,0.178571429,0,0.659,0.035714286,0.035714286,0.107142857,0,0.071428571,0,0,1,0
